"
					The Batch {0} of an item {1} has negative stock in the warehouse {2}. Please add a stock quantity of {3} to proceed with this entry.",The Batch {0} of an item {1} has negative stock in the warehouse {2}. Please add a stock quantity of {3} to proceed with this entry.,
"""Customer Provided Item"" cannot be Purchase Item also","""Customer Provided Item"" cannot be Purchase Item also",
"""Customer Provided Item"" cannot have Valuation Rate","""Customer Provided Item"" cannot have Valuation Rate",
"""Is Fixed Asset"" cannot be unchecked, as Asset record exists against the item","""Is Fixed Asset"" cannot be unchecked, as Asset record exists against the item",
"""SN-01::10"" for ""SN-01"" to ""SN-10""","""SN-01::10"" for ""SN-01"" to ""SN-10""",
# In Stock,# 在庫数,
# Req'd Items,# 必要品目数,
%  Delivered,%  納品済,
% Amount Billed,% 請求済金額,
% Billed,% 請求済,
% Complete Method,% 完了方法,
% Completed,% 完了,
% Delivered,% 納品済,
% Finished Item Quantity,% 完成品数量,
% Installed,% 設置済,
% Occupied,% 占有率,
% Of Grand Total,% 総計に対する割合,
% Ordered,% 発注済,
% Picked,% ピッキング済,
% Process Loss,% 工程ロス,
% Produced,% 生産済,
% Progress,% 進捗,
% Raw Material Received,% 原材料入荷済,
% Raw Material Returned,% 原材料返品済,
% Received,% 受領済,
% Returned,% 返品済,
% of materials billed against this Sales Order,% この受注に対して請求済の資材,
% of materials delivered against this Pick List,% このピッキングリストに対して納品済の資材,
% of materials delivered against this Sales Order,% この受注に対して納品済の資材,
'Account' in the Accounting section of Customer {0},'Account' in the Accounting section of Customer {0},
'Allow Multiple Sales Orders Against a Customer's Purchase Order','Allow Multiple Sales Orders Against a Customer's Purchase Order',
'Based On' and 'Group By' can not be same,'基準'と'グループ化'は同じにできません,
'Days Since Last Order' must be greater than or equal to zero,'最終注文からの日数'はゼロ以上でなければなりません,
'Default {0} Account' in Company {1},'Default {0} Account' in Company {1},
'Entries' cannot be empty,'入力'は空にできません,
'From Date' is required,'開始日'は必須です,
'From Date' must be after 'To Date','開始日'は'終了日'より後でなければなりません,
'Has Serial No' can not be 'Yes' for non-stock item,'Has Serial No' can not be 'Yes' for non-stock item,
"'Inspection Required before Delivery' has disabled for the item {0}, no need to create the QI","'Inspection Required before Delivery' has disabled for the item {0}, no need to create the QI",
"'Inspection Required before Purchase' has disabled for the item {0}, no need to create the QI","'Inspection Required before Purchase' has disabled for the item {0}, no need to create the QI",
'Opening','期首',
'To Date' is required,'終了日'は必須です,
'To Package No.' cannot be less than 'From Package No.','To Package No.' cannot be less than 'From Package No.',
'Update Stock' can not be checked because items are not delivered via {0},'Update Stock' can not be checked because items are not delivered via {0},
'Update Stock' cannot be checked for fixed asset sale,'Update Stock' cannot be checked for fixed asset sale,
'{0}' account is already used by {1}. Use another account.,'{0}' account is already used by {1}. Use another account.,
'{0}' has been already added.,'{0}' has been already added.,
'{0}' should be in company currency {1}.,'{0}' should be in company currency {1}.,
(A) Qty After Transaction,(A) Qty After Transaction,
(B) Expected Qty After Transaction,(B) Expected Qty After Transaction,
(C) Total Qty in Queue,(C) Total Qty in Queue,
(C) Total qty in queue,(C) Total qty in queue,
(D) Balance Stock Value,(D) Balance Stock Value,
(Daily Yield * No of Units Produced) / 100,(Daily Yield * No of Units Produced) / 100,
(E) Balance Stock Value in Queue,(E) Balance Stock Value in Queue,
(F) Change in Stock Value,(F) Change in Stock Value,
(Forecast),（予測）,
(G) Sum of Change in Stock Value,(G) Sum of Change in Stock Value,
(Good Units Produced / Total Units Produced) × 100,(Good Units Produced / Total Units Produced) × 100,
(H) Change in Stock Value (FIFO Queue),(H) Change in Stock Value (FIFO Queue),
(H) Valuation Rate,(H) Valuation Rate,
(Hour Rate / 60) * Actual Operation Time,(Hour Rate / 60) * Actual Operation Time,
(I) Valuation Rate,(I) Valuation Rate,
(J) Valuation Rate as per FIFO,(J) Valuation Rate as per FIFO,
(K) Valuation = Value (D) ÷ Qty (A),(K) Valuation = Value (D) ÷ Qty (A),
(Purchase Order + Material Request + Actual Expense),(Purchase Order + Material Request + Actual Expense),
(Total Workstation Time / Manufacturing Time) * 60,(Total Workstation Time / Manufacturing Time) * 60,
(including),(including),
