"""Company History""","""Company History""",
"""Parent"" signifies the parent table in which this row must be added","""Parent"" signifies the parent table in which this row must be added",
"""Team Members"" or ""Management""","""Team Members"" or ""Management""",
"""amended_from"" field must be present to do an amendment.","""amended_from"" field must be present to do an amendment.",
"""{0}"" is not a valid Google Sheets URL","""{0}"" is not a valid Google Sheets URL",
#{0},#{0},
${values.doctype_name} has been added to queue for optimization,${values.doctype_name} has been added to queue for optimization,
&copy; Frappe Technologies Pvt. Ltd. and contributors,&copy; Frappe Technologies Pvt. Ltd. and contributors,
&lt;head&gt; HTML,&lt;head&gt; HTML,
'*' is only allowed in {0} SQL function(s),'*' is only allowed in {0} SQL function(s),
'In Global Search' is not allowed for field {0} of type {1},'In Global Search' is not allowed for field {0} of type {1},
'In Global Search' not allowed for type {0} in row {1},'In Global Search' not allowed for type {0} in row {1},
'In List View' is not allowed for field {0} of type {1},'In List View' is not allowed for field {0} of type {1},
'In List View' not allowed for type {0} in row {1},'In List View' not allowed for type {0} in row {1},
'Recipients' not specified,'Recipients' not specified,
'{0}' is not a valid IBAN,'{0}' is not a valid IBAN,
'{0}' is not a valid URL,'{0}' is not a valid URL,
'{0}' not allowed for type {1} in row {2},'{0}' not allowed for type {1} in row {2},
(Mandatory),（必須）,
** Failed: {0} to {1}: {2},** Failed: {0} to {1}: {2},
+ Add / Remove Fields,+ Add / Remove Fields,
0 - Draft; 1 - Submitted; 2 - Cancelled,0 - Draft; 1 - Submitted; 2 - Cancelled,
"0 - too guessable: risky password.
<br>
1 - very guessable: protection from throttled online attacks. 
<br>
2 - somewhat guessable: protection from unthrottled online attacks.
<br>
3 - safely unguessable: moderate protection from offline slow-hash scenario.
<br>
4 - very unguessable: strong protection from offline slow-hash scenario.","0 - too guessable: risky password.
<br>
1 - very guessable: protection from throttled online attacks. 
<br>
2 - somewhat guessable: protection from unthrottled online attacks.
<br>
3 - safely unguessable: moderate protection from offline slow-hash scenario.
<br>
4 - very unguessable: strong protection from offline slow-hash scenario.",
0 is highest,0 is highest,
00ee,00ee,
057f,057f,
06cf,06cf,
0cfb,0cfb,
1 = True & 0 = False,1 = True & 0 = False,
"1 Currency = [?] Fraction
For e.g. 1 USD = 100 Cent","1 Currency = [?] Fraction
For e.g. 1 USD = 100 Cent",
1 Day,1 Day,
1 Google Calendar Event synced.,1 Google Calendar Event synced.,
1 Report,1レポート,
1 day ago,1 day ago,
1 hour,1 hour,
1 hour ago,1 hour ago,
1 minute ago,1 minute ago,
1 month ago,1 month ago,
1 of 2,1 of 2,
1 record will be exported,1 record will be exported,
1 second ago,1 second ago,
1 week ago,1 week ago,
1 year ago,1 year ago,
13d5,13d5,
14c3,14c3,
159b,159b,
17c2,17c2,
1be4,1be4,
1c0b,1c0b,
1c7e,1c7e,
1d80,1d80,
1dde,1dde,
2 hours ago,2 hours ago,
2 months ago,2 months ago,
2 weeks ago,2 weeks ago,
2 years ago,2 years ago,
23cb,23cb,
23e7,23e7,
241c,241c,
25f0,25f0,
2ca0,2ca0,
2d00,2d00,
3 minutes ago,3 minutes ago,
30 minutes,30 minutes,
342f,342f,
35a1,35a1,
37e8,37e8,
3bbe,3bbe,
3ca3,3ca3,
3f8c,3f8c,
4 hours,4 hours,
428f,428f,
44ad,44ad,
44d2,44d2,
44e7,44e7,
4d64,4d64,
4de4,4de4,
4df4,4df4,
4fad,4fad,
5 Records,5 Records,
5 days ago,5 days ago,
50c4,50c4,
56ef,56ef,
5a34,5a34,
5c6c,5c6c,
5db7,5db7,
65f0,65f0,
69f3,69f3,
6eeb,6eeb,
6f53,6f53,
73d9,73d9,
746f,746f,
7b0b,7b0b,
7c73,7c73,
7dd0,7dd0,
7f9a,7f9a,
825a,825a,
83ab,83ab,
861d,861d,
8aa5,8aa5,
8bbf,8bbf,
90e3,90e3,
94ca,94ca,
99af,99af,
9bdd,9bdd,
9bf2,9bf2,
9ed3,9ed3,
9f7f,9f7f,
; not allowed in condition,; not allowed in condition,
"<a href=""https://docs.frappe.io/framework/user/en/api/rest#1-token-based-authentication"" target=""_blank"" rel=""noopener noreferrer"">
  Click here to learn about token-based authentication
</a>","<a href=""https://docs.frappe.io/framework/user/en/api/rest#1-token-based-authentication"" target=""_blank"" rel=""noopener noreferrer"">
  Click here to learn about token-based authentication
</a>",
<b>{0}</b> is not a valid URL,<b>{0}</b> is not a valid URL,
"<div class=""alert"">Please don't update it as it can mess up your form. Use the Customize Form View and Custom Fields to set properties!</div>","<div class=""alert"">Please don't update it as it can mess up your form. Use the Customize Form View and Custom Fields to set properties!</div>",
