", Mobile {}",", Mobile {}",
5.0.0,5.0.0,
<b><a href='/app/Form/Healthcare Settings'>Healthcare Settings</a></b>,<b><a href='/app/Form/Healthcare Settings'>Healthcare Settings</a></b>,
<b>Expiry Date of Patient's Insurance Policy</b> (via Patient Insurance Policy) or <b>Validity End Date of Coverage</b> (via Item Insurance Eligibility),<b>Expiry Date of Patient's Insurance Policy</b> (via Patient Insurance Policy) or <b>Validity End Date of Coverage</b> (via Item Insurance Eligibility),
"<b>Reason for Claim Rejection / Error</b> is required, please update row #{}","<b>Reason for Claim Rejection / Error</b> is required, please update row #{}",
"<b>Single</b>: Results which require only a single input.
<br>
<b>Compound</b>: Results which require multiple event inputs.
<br>
<b>Descriptive</b>: Tests which have multiple result components with manual result entry.
<br>
<b>Grouped</b>: Test templates which are a group of other test templates.
<br>
<b>No Result</b>: Tests with no results, can be ordered and billed but no Lab Test will be created. e.g.. Sub Tests for Grouped results","<b>Single</b>: Results which require only a single input.
<br>
<b>Compound</b>: Results which require multiple event inputs.
<br>
<b>Descriptive</b>: Tests which have multiple result components with manual result entry.
<br>
<b>Grouped</b>: Test templates which are a group of other test templates.
<br>
<b>No Result</b>: Tests with no results, can be ordered and billed but no Lab Test will be created. e.g.. Sub Tests for Grouped results",
<b>Valid From</b> date cannot be after <b>Valid Till</b> date,<b>Valid From</b> date cannot be after <b>Valid Till</b> date,
"<br><br><br>Creating Health ID <br>
								<small>Please note, this may take a while</small>","<br><br><br>Creating Health ID <br>
								<small>Please note, this may take a while</small>",
<br><br><br>Getting Health ID,<br><br><br>Getting Health ID,
<br><br>Resending Aadhaar OTP...,<br><br>Resending Aadhaar OTP...,
<br><br>Searching...,<br><br>Searching...,
"<br><br>Verifying OTP... <br>
					<small>Please note, this may take a while</small>","<br><br>Verifying OTP... <br>
					<small>Please note, this may take a while</small>",
<br><br>Verifying...,<br><br>Verifying...,
<br>Please check email / mobile or disable 'Invite as User' to skip creating User,<br>Please check email / mobile or disable 'Invite as User' to skip creating User,
"<svg class=""icon  icon-sm"" style="""">
				<use class="""" href=""#icon-printer""></use>
			</svg>","<svg class=""icon  icon-sm"" style="""">
				<use class="""" href=""#icon-printer""></use>
			</svg>",
A Negative,A Negative,
A Positive,A Positive,
AB Negative,AB Negative,
AB Positive,AB Positive,
ABDM Request,ABDM Request,
ABDM Settings,ABDM設定,
ABHA Address is required to search,ABHA Address is required to search,
ABHA Addressent Required,ABHA Addressent Required,
ABHA ID created successfully,ABHA ID created successfully,
ABHA ID not Created,ABHA ID not Created,
AGE,AGE,
ASAP,ASAP,
Aadhaar Consent Template,Aadhaar Consentテンプレート,
Abbr,Abbr,
Abbreviation already used for {0},Abbreviation already used for {0},
Abbreviation is mandatory,Abbreviationは必須です,
Abdomen,Abdomen,
Abnormal,Abnormal,
Abnormal Condition,Abnormal Condition,
Abnormal From,Abnormal From,
Abnormal Interpretation,Abnormal Interpretation,
Abnormal Long Interpretation,Abnormal Long Interpretation,
Abnormal Options,Abnormal Options,
Abnormal Ratio,Abnormal Ratio,
Abnormal To,Abnormal To,
Abnormal Value,Abnormal Value,
About,概要,
About when and how to obtain urgent work care,About when and how to obtain urgent work care,
Accepted,承認済,
Account Details,勘定科目詳細,
Accounts,Accounts,
Accounts Manager,Accounts Manager,
Accounts User,Accounts User,
Actions,アクション,
"Actions implied by the request are to be permanently halted, before all of the administrations occurred. This should not be used if the original order was entered in error","Actions implied by the request are to be permanently halted, before all of the administrations occurred. This should not be used if the original order was entered in error",
Actions implied by the request are to be temporarily halted. The request might or might not be resumed. May also be called 'suspended'.,Actions implied by the request are to be temporarily halted. The request might or might not be resumed. May also be called 'suspended'.,
Active,Active,
Active Assist,Active Assist,
Active Treatment Counselling {0} already exist for encounter {1},Active Treatment Counselling {0} already exist for encounter {1},
Activity,アクティビティ,
Activity Duration,Activity Duration,
Actual Qty (at source/target),Actual Qty (at source/target),
Add,追加,
Add / Edit Fields,Add / Edit Fields,
Add Clinical Note,Add Clinical Note,
Add Exercise Step,Add Exercise Step,
Add Exercises,Add Exercises,
Add Medication Orders,Add Medication Orders,
Add Multiple,Add Multiple,
Add Multiple Service Units,Add Multiple Service Units,
Add New Line,Add New Line,
Add Note,Add Note,
Add Observation,Add Observation,
Add Test,Add Test,
Add Time Slots,Add Time Slots,
Add Video Conferencing,Add Video Conferencing,
Adding Order Entries,Adding Order Entries,
Additional Discount,Additional Discount,
Additional information regarding the patient,Additional information regarding the patient,
Address & Contact,Address & Contact,
Address HTML,Address HTML,
Address Line 1,Address Line 1,
Address Line 2,Address Line 2,
Address and Contact,Address and Contact,
Address and Contacts,Address and Contacts,
Admission Encounter,Admission Encounter,
Admission Instructions,Admission Instructions,
Admission Nursing Checklist Template,Admission Nursing Checklistテンプレート,
Admission Order,Admission Order,
Admission Ordered For,Admission Ordered For,
Admission Schedule Date,Admission Schedule Date,
Admission Scheduled,Admission Scheduled,
Admission Service Unit Type,Admission Service Unit種類,
Admit,Admit,
Admitted,Admitted,
Admitted Datetime,Admitted Datetime,
Adults' pulse rate is anywhere between 50 and 80 beats per minute.,Adults' pulse rate is anywhere between 50 and 80 beats per minute.,
Advice on Discharge,Advice on Discharge,
Against Inpatient Medication Order,Against Inpatient Medication Order,
Against Inpatient Medication Order Entry,Against Inpatient Medication Order Entry,
Age,Age,
Age From,Age From,
Age To,Age To,
Alcohol Consumption (Past),Alcohol Consumption (Past),
Alcohol Consumption (Present),Alcohol Consumption (Present),
Alcohol past use,Alcohol past use,
Alcohol use,Alcohol use,
Alerts,アラート,
All,All,
All Customer Groups,All Customer Groups,
All Item Groups,All Item Groups,
All actions that are implied by the request have occurred.,All actions that are implied by the request have occurred.,
All published FHIR Versions.,All published FHIR Versions.,
All the drugs are available with sufficient qty to process this Inpatient Medication Entry.,All the drugs are available with sufficient qty to process this Inpatient Medication Entry.,
Allergies,Allergies,
"Allergies, Medical and Surgical History","Allergies, Medical and Surgical History",
Allerigies,Allerigies,
Allocated Amount (via Journal Entry),Allocated Amount (via Journal Entry),
Allow Appointments,Allow Appointments,
Allow Blank,Allow Blank,
Allow Booking For,Allow Booking For,
Allow Discharge Despite Pending Healthcare Services,Allow Discharge Despite Pending Healthcare Services,
Allow Discharge Despite Unbilled Healthcare Services,Allow Discharge Despite Unbilled Healthcare Services,
Allow Overlap,Allow Overlap,
Allow Stock Consumption,Allow Stock Consumption,
Allow Video Conferencing,Allow Video Conferencing,
Allowed Options,Allowed Options,
Already Exist,Already Exist,
Amended,Amended,
Amended From,Amended From,
Amount,Amount,
Amount with GST,Amount with GST,
An Inpatient Medication Order {0} against Patient Encounter {1} already exists.,An Inpatient Medication Order {0} against Patient Encounter {1}は既に存在します,
An active contract for this Insurance Payor already exists: {0},An active contract for this Insurance Payor already exists: {0},
An order created in fulfillment of a broader order that represents the authorization for a single activity occurrence. E.g. The administration of a single dose of a drug.,An order created in fulfillment of a broader order that represents the authorization for a single activity occurrence. E.g. The administration of a single dose of a drug.,
Antibiotic,Antibiotic,
Antibiotic Name,Antibiotic名,
Applies To,Applies To,
Appointment,Appointment,
Appointment Based On Check In,Appointment Based On Check In,
Appointment Booked,Appointment Booked,
Appointment Cancelled.,Appointment Cancelled.,
Appointment Cancelled. Please review and cancel the invoice {0},Appointment Cancelled. Please review and cancel the invoice {0},
Appointment Confirmation,Appointment Confirmation,
Appointment Confirmation Message Not Sent,Appointment Confirmation Message Not Sent,
Appointment Date and Time are required.,Appointment Date and Time are required.,
