"""From Date"" can not be greater than or equal to ""To Date""","""From Date"" can not be greater than or equal to ""To Date""",
$dayjs,$dayjs,
$employee,$employee,
$translate,$translate,
% Utilization (B + NB) / T,% Utilization (B + NB) / T,
% Utilization (B / T),% Utilization (B / T),
'employee_field_value' and 'timestamp' are required.,'employee_field_value' and 'timestamp' are required.,
) for {0},) for {0},
...Fetching Employees,...Fetching Employees,
<b>Base</b> amount has not been set for the following employee(s): {0},<b>Base</b> amount has not been set for the following employee(s): {0},
<b>Example:</b> SAL-{first_name}-{date_of_birth.year} <br>This will generate a password like SAL-Jane-1972,<b>Example:</b> SAL-{first_name}-{date_of_birth.year} <br>This will generate a password like SAL-Jane-1972,
<b>Total Leaves Allocated</b> are more than the number of days in the allocation period,<b>Total Leaves Allocated</b> are more than the number of days in the allocation period,
"<h4>Condition Examples</h4>
<ol>
<li>Applying tax if employee born between 31-12-1937 and 01-01-1958 (Employees aged 60 to 80)<br>
<code>Condition: date_of_birth&gt;date(1937, 12, 31) and date_of_birth&lt;date(1958, 01, 01)</code></li><br><li>Applying tax by employee gender<br>
<code>Condition: gender==""Male""</code></li><br>
<li>Applying tax by Salary Component<br>
<code>Condition: base &gt; 10000</code></li></ol>","<h4>Condition Examples</h4>
<ol>
<li>Applying tax if employee born between 31-12-1937 and 01-01-1958 (Employees aged 60 to 80)<br>
<code>Condition: date_of_birth&gt;date(1937, 12, 31) and date_of_birth&lt;date(1958, 01, 01)</code></li><br><li>Applying tax by employee gender<br>
<code>Condition: gender==""Male""</code></li><br>
<li>Applying tax by Salary Component<br>
<code>Condition: base &gt; 10000</code></li></ol>",
<h5>Employees on Half Day</h5>,<h5>Employees on Half Day</h5>,
<h5>Unmarked Employees</h5>,<h5>Unmarked Employees</h5>,
<hr>,<hr>,
<table class='table table-bordered'><tr><th>{0}</th><th>{1}</th></tr>,<table class='table table-bordered'><tr><th>{0}</th><th>{1}</th></tr>,
A Job Requisition for {0} requested by {1} already exists: {2},A Job Requisition for {0} requested by {1} already exists: {2},
A friendly reminder of an important date for our team.,A friendly reminder of an important date for our team.,
A {0} exists between {1} and {2} (,A {0} exists between {1} and {2} (,
Abbr,Abbr,
About,概要,
Absent,Absent,
Absent Days,Absent Days,
Absent Records,Absent Records,
Academics User,Academics User,
Accepted,承認済,
Account,勘定科目,
Account Head,Account Head,
Account No,Account No,
Account Not Found,Account Not Found,
"Account type should be set {0} for payroll payable account {1}, please set and try again","Account type should be set {0} for payroll payable account {1}, please set and try again",
Account {0} does not belong to company: {1},Account {0} does not belong to company: {1},
Account {0} does not match with Company {1},Account {0} does not match with Company {1},
Accounting,Accounting,
Accounting & Payment,Accounting & Payment,
Accounting Details,Accounting詳細,
Accounting Dimensions,Accounting Dimensions,
Accounting Ledger,Accounting Ledger,
Accounts,Accounts,
Accounts not set for Salary Component {0},Accounts not set for Salary Component {0},
Accrual,Accrual,
Accrual Arrears,Accrual Arrears,
Accrual Component,Accrual Component,
Accrual Component can only be set for Earning Salary Components.,Accrual Component can only be set for Earning Salary Components.,
Accrual Component can only be set for Flexible Benefit Salary Components with accrual payout methods.,Accrual Component can only be set for Flexible Benefit Salary Components with accrual payout methods.,
Accrual Component must be set for Flexible Benefit Salary Components with accrual payout methods.,Accrual Component must be set for Flexible Benefit Salary Components with accrual payout methods.,
Accrual Journal Entry for salaries from {0} to {1},Accrual Journal Entry for salaries from {0} to {1},
Accrue and payout at end of payroll period,Accrue and payout at end of payroll period,
"Accrue per cycle, pay only on claim","Accrue per cycle, pay only on claim",
Accrued Benefits,Accrued Benefits,
Accrued Earnings Report,Accrued Earningsレポート,
Accrued amount {0} is less than paid amount {1} for Benefit {2} in payroll period {3},Accrued amount {0} is less than paid amount {1} for Benefit {2} in payroll period {3},
Action,アクション,
Action on Submission,Action on Submission,
Actions,アクション,
Active,Active,
Activities,Activities,
Activity Name,Activity名,
Actual Amount,Actual Amount,
Actual Cost,Actual Cost,
Actual Encashable Days,Actual Encashable Days,
Actual Overtime Duration,Actual Overtime Duration,
Actual balances aren't available because the leave application spans over different leave allocations. You can still apply for leaves which would be compensated during the next allocation.,Actual balances aren't available because the leave application spans over different leave allocations. You can still apply for leaves which would be compensated during the next allocation.,
Add Day-wise Dates,Add Day-wise Dates,
Add Employee Property,Add Employee Property,
Add Feedback,Add Feedback,
Add to Details,Add to詳細,
Add unused leaves from previous allocations,Add unused leaves from previous allocations,
Add unused leaves from previous leave period's allocation to this allocation,Add unused leaves from previous leave period's allocation to this allocation,
Added On,Added On,
Added tax components from the Salary Component master as the salary structure didn't have any tax component.,Added tax components from the Salary Component master as the salary structure didn't have any tax component.,
Added to details,Added to details,
Additional Amount,Additional Amount,
Additional PF,Additional PF,
Additional Provident Fund,Additional Provident Fund,
Additional Salary,Additional Salary,
Additional Salary for referral bonus can only be created against Employee Referral with status {0},Additional Salary for referral bonus can only be created against Employee Referral with status {0},
Additional Salary for this salary component with {0} enabled already exists for this date,Additional Salary for this salary component with {0} enabled already exists for this date,
Additional Salary: {0} already exist for Salary Component: {1} for period {2} and {3},Additional Salary: {0} already exist for Salary Component: {1} for period {2} and {3},
Address of Organizer,Address of Organizer,
Adjust Allocation,Adjust Allocation,
Adjustment Created Successfully,Adjustment Created Successfully,
Adjustment Type,Adjustment種類,
Administrator,Administrator,
Advance,Advance,
Advance Account,Advance Account,
Advance Account Required,Advance Account Required,
Advance Account is mandatory. Please set the {0} in the Company {1} and submit this document.,Advance Account is mandatory. Please set the {0} in the Company {1} and submit this document.,
Advance Account {} currency should be same as Salary Currency of Employee {}. Please select same currency Advance Account,Advance Account {} currency should be same as Salary Currency of Employee {}. Please select same currency Advance Account,
Advance Amount,Advance Amount,
Advance Paid,Advance Paid,
Advance Paid (Company Currency),Advance Paid (Company Currency),
Advance Payments,Advance Payments,
Advanced Filters,Advanced Filters,
Advances,Advances,
All,All,
All Exchange Gain/Loss amount of {0} has been booked through {1},All Exchange Gain/Loss amount of {0} has been booked through {1},
All Goals,All Goals,
All Jobs,All Jobs,
All allocated assets should be returned before submission,All allocated assets should be returned before submission,
All the mandatory tasks for employee creation are not completed yet.,All the mandatory tasks for employee creation are not completed yet.,
Allocate,Allocate,
Allocate Based On Leave Policy,Allocate Based On Leave Policy,
Allocate Leave,Allocate Leave,
Allocate leaves to {0} employee(s)?,Allocate leaves to {0} employee(s)?,
Allocate on Day,Allocate on Day,
Allocated Amount,Allocated Amount,
Allocated Amount (Company Currency),Allocated Amount (Company Currency),
Allocated Leaves,Allocated Leaves,
Allocated Via,Allocated Via,
Allocating Leave,Allocating Leave,
Allocation,Allocation,
Allocation Date,Allocation Date,
Allocation Details,Allocation詳細,
Allocation Expired!,Allocation Expired!,
Allocation is greater than the maximum allowed {0} for leave type {1},Allocation is greater than the maximum allowed {0} for leave type {1},
Allocation to Adjust,Allocation to Adjust,
